Table Name,State Code,District Code,Area Name,Total/ Rural/Urban,Present Age,Total Women,Total Ever Married Women,Total Ever Married Women - Parity - 0,Total Ever Married Women - Parity - 1,Total Ever Married Women - Parity - 2,Total Ever Married Women - Parity - 3,Total Ever Married Women - Parity - 4,Total Ever Married Women - Parity - 5,Total Ever Married Women - Parity - 6,Total Ever Married Women - Parity - 7+,Total Children Ever Born - Persons,Total Children Ever Born - Male,Total Children Ever Born - Female
F01ST33,33,604,District - Kancheepuram,Rural,65-69,197,195,33,26,25,26,35,16,17,17,609,333,276
F01ST33,33,604,District - Kancheepuram,Rural,70-74,131,130,22,13,31,22,21,7,8,6,357,197,160
F01ST33,33,604,District - Kancheepuram,Rural,75-79,48,47,11,8,5,6,7,6,2,2,121,71,50
F01ST33,33,604,District - Kancheepuram,Rural,80+,68,64,12,8,10,7,6,6,4,11,209,114,95
F01ST33,33,604,District - Kancheepuram,Urban,All Ages,7034,4283,783,671,1282,793,411,182,74,87,9293,4855,4438
F01ST33,33,604,District - Kancheepuram,Urban,Less than 15,2018,24,15,3,6,0,0,0,0,0,15,5,10
F01ST33,33,604,District - Kancheepuram,Urban,15-19,635,151,100,31,11,4,5,0,0,0,85,41,44
F01ST33,33,604,District - Kancheepuram,Urban,20-24,736,558,168,165,172,38,10,3,0,2,693,334,359
F01ST33,33,604,District - Kancheepuram,Urban,25-29,770,714,112,127,291,123,42,14,3,2,1350,694,656
F01ST33,33,604,District - Kancheepuram,Urban,30-34,566,546,59,62,231,134,47,7,4,2,1189,628,561
F01ST33,33,604,District - Kancheepuram,Urban,35-39,546,544,54,62,178,136,74,24,11,5,1350,684,666
F01ST33,33,604,District - Kancheepuram,Urban,40-44,399,394,39,49,113,103,50,18,10,12,1025,550,475
F01ST33,33,604,District - Kancheepuram,Urban,45-49,379,378,32,38,97,110,49,30,9,13,1063,567,496
F01ST33,33,604,District - Kancheepuram,Urban,50-54,309,307,55,43,66,60,44,26,6,7,750,416,334
F01ST33,33,604,District - Kancheepuram,Urban,55-59,225,223,45,29,45,37,30,18,8,11,572,321,251
F01ST33,33,604,District - Kancheepuram,Urban,60-64,178,178,46,24,32,21,20,17,10,8,436,234,202
F01ST33,33,604,District - Kancheepuram,Urban,65-69,104,103,19,16,16,10,17,8,6,11,310,150,160
F01ST33,33,604,District - Kancheepuram,Urban,70-74,84,81,19,9,11,9,13,11,2,7,239,120,119
F01ST33,33,604,District - Kancheepuram,Urban,75-79,35,35,8,5,5,6,5,3,2,1,87,43,44
F01ST33,33,604,District - Kancheepuram,Urban,80+,43,42,9,8,7,2,5,2,3,6,122,65,57
F01ST33,33,605,District - Vellore,Total,All Ages,36292,21969,4090,3141,5439,4477,2482,1217,595,528,51165,27152,24013
F01ST33,33,605,District - Vellore,Total,Less than 15,11102,58,43,4,11,0,0,0,0,0,26,19,7
F01ST33,33,605,District - Vellore,Total,15-19,3227,950,671,192,64,13,10,0,0,0,399,209,190
F01ST33,33,605,District - Vellore,Total,20-24,3576,2978,952,915,810,237,44,11,2,7,3542,1895,1647
F01ST33,33,605,District - Vellore,Total,25-29,3573,3376,495,553,1258,760,221,56,13,20,6759,3490,3269
F01ST33,33,605,District - Vellore,Total,30-34,2708,2640,289,239,843,774,337,100,36,22,6484,3403,3081
F01ST33,33,605,District - Vellore,Total,35-39,2753,2720,304,227,714,741,484,160,59,31,7204,3815,3389
F01ST33,33,605,District - Vellore,Total,40-44,2090,2073,224,211,512,508,332,154,80,52,5744,3115,2629
F01ST33,33,605,District - Vellore,Total,45-49,2056,2041,237,211,436,516,313,187,83,58,5774,3122,2652
F01ST33,33,605,District - Vellore,Total,50-54,1427,1417,187,174,255,317,223,132,61,68,4083,2195,1888
F01ST33,33,605,District - Vellore,Total,55-59,1191,1183,181,137,205,224,180,115,79,62,3463,1831,1632
F01ST33,33,605,District - Vellore,Total,60-64,1010,995,181,99,136,169,133,133,69,75,3076,1623,1453
F01ST33,33,605,District - Vellore,Total,65-69,699,695,134,74,90,95,96,91,54,61,2183,1132,1051
F01ST33,33,605,District - Vellore,Total,70-74,456,449,90,56,57,66,65,39,36,40,1345,749,596
F01ST33,33,605,District - Vellore,Total,75-79,177,175,46,18,15,23,22,21,11,19,527,259,268
F01ST33,33,605,District - Vellore,Total,80+,211,205,52,29,31,30,22,17,11,13,527,279,248
F01ST33,33,605,District - Vellore,Rural,All Ages,32340,19596,3748,2783,4717,3989,2261,1094,535,469,45569,24313,21256
F01ST33,33,605,District - Vellore,Rural,Less than 15,10001,55,40,4,11,0,0,0,0,0,26,19,7
F01ST33,33,605,District - Vellore,Rural,15-19,2860,872,621,172,59,10,10,0,0,0,360,187,173
F01ST33,33,605,District - Vellore,Rural,20-24,3168,2699,864,835,725,216,40,10,2,7,3208,1727,1481
F01ST33,33,605,District - Vellore,Rural,25-29,3186,3023,440,489,1113,693,203,53,12,20,6111,3168,2943
F01ST33,33,605,District - Vellore,Rural,30-34,2395,2342,260,203,726,705,309,93,28,18,5782,3055,2727
F01ST33,33,605,District - Vellore,Rural,35-39,2447,2418,279,195,605,663,450,146,54,26,6444,3426,3018
F01ST33,33,605,District - Vellore,Rural,40-44,1849,1833,207,182,425,453,305,140,75,46,5115,2772,2343
F01ST33,33,605,District - Vellore,Rural,45-49,1835,1821,216,186,381,452,292,173,72,49,5155,2798,2357
F01ST33,33,605,District - Vellore,Rural,50-54,1260,1250,178,159,214,271,195,116,55,62,3569,1939,1630
F01ST33,33,605,District - Vellore,Rural,55-59,1045,1038,170,117,176,198,152,96,74,55,3018,1616,1402
F01ST33,33,605,District - Vellore,Rural,60-64,896,883,168,90,111,141,123,118,62,70,2732,1443,1289
F01ST33,33,605,District - Vellore,Rural,65-69,633,630,124,66,82,84,86,81,51,56,1982,1032,950
F01ST33,33,605,District - Vellore,Rural,70-74,403,397,86,50,49,54,57,35,31,35,1165,658,507
F01ST33,33,605,District - Vellore,Rural,75-79,150,149,42,12,14,20,18,19,9,15,440,221,219
F01ST33,33,605,District - Vellore,Rural,80+,177,173,49,21,25,25,21,13,9,10,435,236,199
F01ST33,33,605,District - Vellore,Urban,All Ages,3952,2373,342,358,722,488,221,123,60,59,5596,2839,2757
